Mathew Fraser,Male,26,"5'7""",190 lb,2:07,--,1:18,--,--,--,--,375,315,500,485,50
Ben Smith,Male,26,"5'11""",195 lb,2:25,7:19,1:51,16:17,520,0:58,20:20,335,300,540,480,76
Patrick Vellner,Male,26,177 cm,195 lb,2:28,9:46,1:24,20:16,389,1:06,19:18,330,275,525,415,64
Brent Fikowski,Male,25,"6'2""",212 lb,0:00,0:00,0:00,0:00,--,0:59,0:00,--,290,--,405,--
Cole Sager,Male,26,"5'10""",205 lb,2:05,7:14,1:10,13:15,490,0:54,--,345,275,470,475,68
Scott Panchik,Male,28,"5'9""",187 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Jacob Heppner,Male,26,"5'8""",192 lb,--,--,--,--,--,--,--,--,--,--,--,--
Björgvin Karl Guðmundsson,Male,24,178 cm,185 lb,2:23,0:00,2:00,0:00,--,0:00,19:20,335,286,520,445,65
Alex Vigneault,Male,24,"5'11""",205 lb,2:14,7:12,1:11,14:54,457,--,19:30,360,300,600,455,72
Travis Mayer,Male,25,"5'11""",195 lb,2:15,6:34,1:18,13:39,447,0:54,18:03,347,280,550,475,75
Alex Anderson,Male,26,"5'10""",210 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Marcus Filly,Male,32,"5'10""",192 lb,2:10,7:00,1:09,16:14,--,0:59,--,355,275,485,455,63
Josh Bridges,Male,33,"5'5""",173 lb,--,--,--,--,--,--,--,--,--,--,--,--
Lukas Högberg,Male,25,183 cm,207 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,143,115,220,183,--
Noah Ohlsen,Male,25,"5'7""",188 lb,2:12,0:00,1:46,19:05,421,0:59,0:00,345,280,490,425,72
Samuel Kwant,Male,20,"5'10""",195 lb,2:09,0:00,1:47,0:00,--,0:00,18:05,325,275,465,430,74
Rob Forte,Male,30,174 cm,89 kg,2:12,7:01,1:16,16:41,517,0:59,19:30,325,270,513,418,53
Christian Lucero,Male,23,"5'10""",190 lb,1:59,0:00,1:10,0:00,--,0:00,0:00,352,290,515,440,82
Travis Williams,Male,24,"5'9""",205 lb,0:00,7:41,0:00,0:00,486,0:00,20:55,365,290,565,475,50
Garret Fisher,Male,25,"6'1""",209 lb,2:09,0:00,0:00,0:00,--,0:55,0:00,365,285,--,--,--
Lukas Esslinger,Male,23,181 cm,200 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Lucas Parker,Male,27,"5'8""",187 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,345,291,--,490,--
Zak Carchedi,Male,23,"5'9""",184 lb,2:30,8:30,1:45,--,--,--,21:00,340,275,515,475,40
James Newbury,Male,25,177 cm,87 kg,2:08,6:59,1:26,0:00,369,0:53,18:44,145,120,242,200,85
Rasmus Wisbech Andersen,Male,24,"6'0""",208 lb,2:07,0:00,0:00,0:00,--,1:02,19:50,335,280,485,455,--
Albert-Dominic Larouche,Male,26,"5'10""",195 lb,2:41,7:55,1:50,15:40,477,0:00,19:50,335,280,545,435,50
Gary Helmick,Male,29,"5'10""",180 lb,0:00,0:00,2:00,0:00,411,0:00,0:00,320,250,525,420,60
Ben Stoneberg,Male,29,"5'7""",180 lb,2:10,7:06,1:27,15:05,486,0:57,19:00,335,265,500,475,63
Jacob Anderson,Male,23,"5'8""",190 lb,--,--,--,--,--,--,--,385,315,545,--,--
Sean Sweeney,Male,25,"5'9""",195 lb,2:19,6:38,1:28,--,--,--,--,341,265,530,430,--
Logan Collins,Male,25,"5'7""",167 lb,2:09,--,1:40,--,--,--,--,325,265,500,435,--
Sam Dancer,Male,29,"5'10""",210 lb,2:00,7:10,1:00,--,484,--,--,365,315,655,535,65
Spencer Hendel,Male,28,"6'2""",215 lb,2:25,7:30,1:30,17:40,447,1:01,20:32,365,305,565,550,62
Adrian Mundwiler,Male,24,172 cm,83 kg,--,--,--,--,--,--,--,--,--,--,--,--
Roy Gamboa,Male,29,"5'8""",200 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Joseph Guesnier,Male,26,"6'0""",210 lb,2:54,8:31,1:47,19:58,390,0:58,21:42,345,300,545,470,50
Mitchell Sinnamon,Male,26,172 cm,90 kg,--,--,--,--,--,--,--,--,--,--,--,--
Khan Porter,Male,27,182 cm,205 lb,2:04,--,1:10,16:40,468,--,--,160,131,242,190,70
Zeke Grove,Male,24,169 cm,176 lb,2:00,7:13,1:15,--,--,--,--,145,113,210,180,66
Jonne Koski,Male,21,173 cm,185 lb,--,--,--,--,--,--,--,--,--,--,--,--
Ben Smith,Male,26,"5'11""",195 lb,2:25,7:19,1:51,16:17,520,0:58,20:20,335,300,540,480,76
Noah Ohlsen,Male,25,"5'7""",188 lb,2:12,0:00,1:46,19:05,421,0:59,0:00,345,280,490,425,72
Travis Mayer,Male,25,"5'11""",195 lb,2:15,6:34,1:18,13:39,447,0:54,18:03,347,280,550,475,75
Jacob Anderson,Male,23,"5'8""",190 lb,--,--,--,--,--,--,--,385,315,545,--,--
Gary Helmick,Male,29,"5'10""",180 lb,0:00,0:00,2:00,0:00,411,0:00,0:00,320,250,525,420,60
Jeff Evans,Male,28,"6'0""",207 lb,2:07,--,1:24,--,--,1:00,20:57,405,315,550,540,57
Nathan Bramblett,Male,25,"5'10""",184 lb,2:04,7:15,1:20,--,510,--,20:00,355,290,525,455,71
Daniel Petro,Male,28,"5'11""",210 lb,2:01,7:15,1:21,0:00,--,0:00,0:00,330,285,555,485,65
Chandler Smith,Male,23,"5'8""",188 lb,2:26,7:15,1:40,--,--,--,19:00,345,282,605,475,61
Aaron Hanna,Male,28,"6'1""",205 lb,2:14,7:46,1:30,--,433,0:55,--,365,280,500,450,--
Nathan Trevillian,Male,21,"6'1""",200 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
ZA Anderson,Male,27,"6'2""",225 lb,--,--,--,--,--,--,--,--,--,--,--,--
Ryan Elrod,Male,33,"5'6""",166 lb,--,--,--,--,--,--,--,--,--,--,--,--
Alec Smith,Male,24,"5'10""",185 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,365,290,505,440,--
Jordan Troyan,Male,32,"5'10""",180 lb,2:52,6:50,1:49,17:30,434,0:55,18:35,320,265,485,420,50
Asa Brown,Male,21,"5'7""",185 lb,2:17,--,--,--,--,--,--,350,280,450,495,60
Lex Ozias,Male,23,"5'7""",182 lb,2:06,--,1:38,--,451,--,--,337,260,475,475,62
Bryce Lawlor,Male,24,"5'10""",190 lb,2:35,--,--,--,--,--,--,325,255,535,435,--
Irving Hernandez,Male,28,"5'0""",155 lb,1:49,7:31,0:00,14:41,481,0:00,0:00,335,245,505,500,115
Eric Oxley,Male,28,"5'9""",195 lb,2:37,8:56,2:23,0:00,434,1:02,19:57,340,275,540,480,--
Dominick Maurici,Male,27,"5'7""",180 lb,2:04,7:38,1:17,17:19,483,1:02,19:47,335,260,545,475,76
Jeremy Lancaster,Male,28,"5'7""",170 lb,2:08,7:20,1:45,--,360,--,--,335,265,475,440,75
Jake Berman,Male,20,"5'7""",180 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Dane Smith,Male,20,"5'7""",169 lb,2:15,--,--,--,--,--,19:30,--,--,500,500,--
Stuart Bready,Male,24,"5'8""",195 lb,2:12,--,1:21,--,--,0:58,--,345,280,525,505,50
Mark Oliver,Male,24,"5'6""",175 lb,--,--,--,--,--,--,--,335,250,485,--,--
Thomas Nay,Male,27,"5'7""",185 lb,2:04,--,--,--,--,0:00,21:00,325,270,555,455,--
Adam Klink,Male,26,"6'0""",220 lb,2:27,8:27,1:50,17:48,--,0:58,0:00,300,230,575,525,55
Hans Stancil,Male,31,"5'9""",184 lb,2:16,7:41,1:53,--,--,1:03,--,315,250,475,415,--
Josh Mabry,Male,27,"5'6""",175 lb,2:23,--,--,--,--,--,16:18,300,235,500,400,--
Chris Killian,Male,30,"5'7""",180 lb,2:15,--,--,--,--,--,--,335,270,500,450,65
George Brodnax,Male,24,"5'11""",205 lb,2:07,7:45,0:00,--,--,--,--,365,285,600,515,--
Chad Blanchard,Male,30,"5'11""",210 lb,2:25,7:22,--,--,--,--,18:35,300,260,545,425,62
Jonathan Wier,Male,32,"5'11""",215 lb,2:10,--,--,--,--,--,19:05,345,270,600,500,45
Kent Ingalls,Male,34,"5'9""",170 lb,2:06,6:51,1:34,15:52,470,0:53,19:45,151,120,220,210,70
Kirk Gibson,Male,24,"5'9""",185 lb,2:18,7:15,1:06,19:39,425,0:55,21:00,355,295,520,455,100
Craig Williams,Male,22,"5'9""",179 lb,2:09,7:04,1:15,0:00,455,1:00,19:37,315,265,535,435,--
Julian Serna,Male,33,"5'11""",195 lb,2:12,0:00,1:35,0:00,--,0:00,0:00,265,195,--,--,55
Vinny Casey,Male,21,"5'9""",185 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,335,275,515,485,--
Josh Bridges,Male,33,"5'5""",173 lb,--,--,--,--,--,--,--,--,--,--,--,--
Rasmus Wisbech Andersen,Male,24,"6'0""",208 lb,2:07,0:00,0:00,0:00,--,1:02,19:50,335,280,485,455,--
Marcus Filly,Male,32,"5'10""",192 lb,2:10,7:00,1:09,16:14,--,0:59,--,355,275,485,455,63
Christian Lucero,Male,23,"5'10""",190 lb,1:59,0:00,1:10,0:00,--,0:00,0:00,352,290,515,440,82
Garret Fisher,Male,25,"6'1""",209 lb,2:09,0:00,0:00,0:00,--,0:55,0:00,365,285,--,--,--
Jason Carroll,Male,27,"5'10""",185 lb,--,--,--,--,--,--,--,315,250,555,440,--
Dan Bailey,Male,32,"5'7""",180 lb,2:17,0:00,0:00,0:00,457,0:47,19:00,305,265,540,405,--
Henry Lopez,Male,30,"5'4""",165 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Ben Alderman,Male,34,"5'10""",208 lb,2:19,0:00,1:48,18:39,--,0:00,0:00,355,293,515,440,60
Julian Alcaraz,Male,27,"5'10""",197 lb,2:24,0:00,1:12,0:00,--,--,18:44,350,275,537,485,75
Bryan Miller,Male,26,"6'1""",210 lb,2:21,7:55,0:00,0:00,410,1:03,0:00,355,290,555,460,57
Nuno Costa,Male,37,"5'9""",175 lb,2:05,7:02,1:44,--,426,0:47,17:55,320,235,508,451,70
Joshua Pollema,Male,25,"5'9""",170 lb,2:24,--,1:38,--,--,0:54,--,285,230,485,395,--
Kenneth Leverich,Male,28,"5'8""",185 lb,2:08,--,--,--,--,--,--,365,302,525,465,62
Ryan Fischer,Male,30,"5'5""",170 lb,1:57,6:45,1:05,0:00,511,0:53,17:45,315,280,585,515,80
Chris Detmering,Male,26,"5'9""",187 lb,2:08,7:33,--,--,453,1:01,--,335,275,530,455,60
Jordan Eldridge,Male,22,"5'10""",193 lb,--,--,--,--,--,--,--,--,--,--,--,--
Johnny Medina III,Male,21,"5'7""",173 lb,0:00,0:00,--,--,--,0:00,0:00,325,265,545,460,50
Mason Flynn,Male,29,"5'10""",215 lb,--,--,--,--,--,--,--,--,--,--,--,--
Josh Kyser,Male,23,"5'6""",175 lb,2:39,7:57,1:27,19:10,--,--,--,315,250,475,405,--
Will Zerlang,Male,36,"5'10""",187 lb,2:24,7:42,2:24,18:00,422,1:15,19:46,295,245,455,425,52
andrew Kong,Male,27,"5'7""",187 lb,0:00,0:00,1:59,0:00,341,1:19,0:00,345,286,500,440,--
Dusty Sulon,Male,31,"6'0""",185 lb,2:36,7:55,2:24,17:00,432,1:07,20:44,305,260,500,420,46
Jordan Jiunta,Male,26,"5'5""",170 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Troy Stinson,Male,27,"5'11""",190 lb,2:29,0:00,1:36,0:00,362,0:00,0:00,305,261,425,425,50
Mark Pfeifer,Male,31,"5'9""",178 lb,2:11,0:00,0:00,0:00,--,0:00,0:00,--,230,455,--,54
Dane mclaughlin,Male,29,"6'1""",193 lb,2:11,--,--,--,--,--,--,--,--,--,--,--
Christopher Brown,Male,33,"5'11""",212 lb,2:11,7:20,2:08,15:10,415,1:00,18:00,325,265,525,445,44
Justin Van Dyke,Male,31,"5'11""",195 lb,2:23,--,--,--,--,--,18:11,--,245,--,420,--
Andrew Warwick,Male,31,"6'0""",212 lb,10:02,18:03,52:05:00,19:39,2t,5:21,98:03:00,--,--,--,--,--
Nick Lucchesi,Male,27,"6'1""",205 lb,2:37,7:18,1:21,18:32,451,1:03,20:03,--,--,--,--,53
Eric Botsford,Male,37,"5'11""",176 lb,2:13,8:07,2:02,0:00,420,0:59,17:19,307,235,455,425,50
Gabe Subry,Male,35,"5'9""",190 lb,2:30,7:50,1:50,18:57,457,1:04,18:31,315,255,500,410,58
Ronnie Teasdale,Male,33,"5'10""",182 lb,2:31,6:53,1:58,0:00,413,0:58,17:01,275,240,475,400,65
Dustin Raul Stumpf,Male,27,"5'11""",195 lb,2:09,--,1:42,--,--,--,--,310,255,505,485,80
Andrew Malek-Zadeh,Male,30,"6'1""",215 lb,2:28,0:00,1:25,0:00,--,0:00,0:00,350,275,525,475,50
Andre Fassler,Male,22,"5'11""",180 lb,2:19,7:55,--,--,415,1:04,--,285,230,375,350,50
Chris Cordova,Male,22,"5'10""",195 lb,2:53,--,1:42,20:51,419,--,--,310,245,495,435,--
Ryan Hignell,Male,26,"5'9""",183 lb,2:10,7:20,1:34,15:19,392,1:05,19:59,330,285,475,405,78
Trevor Bachmeyer,Male,43,"5'10""",185 lb,2:41,7:29,2:04,18:41,447,1:07,21:27,315,245,565,465,88
Scott Panchik,Male,28,"5'9""",187 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Jacob Heppner,Male,26,"5'8""",192 lb,--,--,--,--,--,--,--,--,--,--,--,--
Alex Anderson,Male,26,"5'10""",210 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Zak Carchedi,Male,23,"5'9""",184 lb,2:30,8:30,1:45,--,--,--,21:00,340,275,515,475,40
Sam Dancer,Male,29,"5'10""",210 lb,2:00,7:10,1:00,--,484,--,--,365,315,655,535,65
Will Moorad,Male,27,"5'9""",185 lb,2:12,0:00,0:00,0:00,--,0:00,0:00,--,260,--,--,--
Kevin Schuetz,Male,29,"6'0""",205 lb,2:05,7:41,1:39,0:00,404,0:00,21:53,345,300,575,440,54
Jack Long,Male,27,"5'10""",205 lb,--,--,--,--,--,--,--,365,295,525,505,--
Graham Holmberg,Male,31,"5'11""",190 lb,2:04,7:04,1:12,17:30,433,--,19:00,330,270,535,440,55
Dre Strohm,Male,22,"5'9""",185 lb,--,--,--,--,--,--,--,--,--,--,--,--
Saxon Panchik,Male,20,"5'9""",175 lb,2:17,7:18,1:33,0:00,--,0:52,19:12,335,255,450,415,62
Andrew Kuechler,Male,28,"5'8""",180 lb,2:06,--,--,--,--,--,19:15,335,255,550,515,--
Cody Keathley,Male,25,"5'6""",171 lb,2:37,8:17,2:05,17:58,360,1:05,19:57,--,--,--,--,64
Kevin Scholtz,Male,23,"5'6""",163 lb,1:58,0:00,2:21,0:00,--,1:03,20:50,335,275,450,465,55
Richard Castillo,Male,26,"5'11""",200 lb,2:18,7:48,1:48,--,--,--,21:00,325,255,500,445,--
Bryan Wong,Male,29,"5'9""",198 lb,2:09,9:23,1:36,--,--,--,--,--,--,--,--,--
Shane McBride,Male,30,"5'5""",183 lb,1:59,7:32,0:00,0:00,420,0:00,20:34,355,280,550,505,--
Brandon Pastorek,Male,31,"5'11""",205 lb,2:27,7:30,1:19,18:36,438,1:10,21:00,365,275,505,405,50
Nicholas Urankar,Male,32,"5'10""",195 lb,2:10,0:00,1:24,15:30,--,0:00,19:37,390,310,555,480,55
Bobby Noyce,Male,27,"6'1""",215 lb,2:08,6:30,1:25,12:56,503,0:56,17:46,330,275,575,415,89
Streat Hoerner,Male,21,"5'9""",192 lb,--,--,--,--,--,--,--,345,265,500,425,--
Dylan Martin,Male,24,"5'9""",190 lb,2:10,--,--,--,423,--,--,320,255,470,455,60
Casey McCallister,Male,27,"5'9""",170 lb,2:09,--,1:24,--,--,0:53,19:58,285,220,475,425,60
Anthony Davis,Male,21,"5'10""",215 lb,2:28,--,1:50,--,482,--,22:23,345,280,600,500,52
Chris Shimley,Male,24,"5'8""",193 lb,2:20,7:29,1:56,18:00,468,0:00,21:17,365,285,505,505,61
Andy Angelo,Male,26,"5'9""",170 lb,2:22,--,1:41,16:01,451,--,18:00,275,220,500,350,64
Hudson Wikoff,Male,28,"5'11""",200 lb,2:17,--,1:23,--,--,--,--,332,275,500,425,--
Josh Marunde,Male,30,"5'10""",188 lb,2:20,7:06,3:00,18:44,--,58:00:00,18:50,315,245,455,430,--
Patrick O&#039;Connell,Male,28,"5'9""",180 lb,2:16,0:00,2:02,19:14,--,0:00,0:00,350,265,485,420,46
Andrew Hiller,Male,25,"5'9""",190 lb,2:09,6:58,1:34,16:14,--,0:58,--,310,260,550,450,84
Nate Dunfee,Male,28,"6'0""",207 lb,0:00,7:58,1:44,0:00,--,0:00,19:50,340,280,550,425,39
Austin O&#039;Neal,Male,26,"5'10""",215 lb,--,--,--,--,--,--,--,--,--,--,--,--
Alan Joyner,Male,32,"6'1""",205 lb,2:12,7:57,1:36,0:00,--,0:57,19:58,360,300,565,485,59
Vincent Buttitta,Male,26,"5'6""",170 lb,--,--,--,--,--,--,--,315,245,470,440,--
Matthew Greene,Male,23,"6'1""",205 lb,2:16,7:30,2:54,--,--,0:59,18:00,315,260,440,385,61
Derek French,Male,31,"5'7""",180 lb,2:28,8:13,1:51,19:10,--,0:00,19:39,325,245,500,415,--
Nick Graham,Male,28,"5'4""",182 lb,2:22,--,1:33,--,--,--,--,285,225,435,435,67
Brendan Willis,Male,27,"5'8""",171 lb,2:12,6:48,2:06,13:38,440,1:06,19:30,275,220,435,380,55
Kaylem Cottrill,Male,28,"5'8""",195 lb,2:05,--,1:41,--,431,--,--,335,235,605,505,64
Nick Bloch,Male,30,"6'0""",210 lb,2:20,6:58,1:03,17:23,--,1:00,19:30,365,315,620,545,50
Mathew Fraser,Male,26,"5'7""",190 lb,2:07,--,1:18,--,--,--,--,375,315,500,485,50
Albert-Dominic Larouche,Male,26,"5'10""",195 lb,2:41,7:55,1:50,15:40,477,0:00,19:50,335,280,545,435,50
Patrick Vellner,Male,26,177 cm,195 lb,2:28,9:46,1:24,20:16,389,1:06,19:18,330,275,525,415,64
Spencer Hendel,Male,28,"6'2""",215 lb,2:25,7:30,1:30,17:40,447,1:01,20:32,365,305,565,550,62
Alex Vigneault,Male,24,"5'11""",205 lb,2:14,7:12,1:11,14:54,457,--,19:30,360,300,600,455,72
Chase Smith,Male,27,"5'9""",195 lb,2:25,--,1:35,--,--,0:56,--,350,275,550,502,57
Austin Malleolo,Male,29,"5'5""",178 lb,2:11,6:56,1:47,14:05,470,0:59,20:21,325,255,570,420,65
Paul Tremblay,Male,29,"5'10""",200 lb,2:12,--,1:48,--,451,1:00,--,365,300,545,515,59
Nicholas DelGrande,Male,24,"5'7""",187 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,365,300,555,475,--
James Kozlakowski,Male,26,"5'10""",205 lb,2:06,--,1:26,--,--,--,--,355,265,600,495,--
Connor Duddy,Male,23,"5'10""",185 lb,--,--,--,--,--,--,--,325,260,475,410,--
Trevor James,Male,24,"6'2""",223 lb,2:26,--,--,--,--,1:04,24:00:00,365,300,550,485,50
Corey Lunney,Male,25,"5'9""",175 lb,2:18,7:54,1:42,19:42,--,0:00,18:43,326,255,525,485,--
